timestamp,proxy_name,experiment_id,session_id,direction,event_index,byte_length,inter_event_gap_ms
1785306083.383218,proxy_b,baseline_lenmix_v1,6c444552-3608-4b4c-a623-f08085528b90,forward,1,64,0.647
1785306083.384191,proxy_b,baseline_lenmix_v1,6c444552-3608-4b4c-a623-f08085528b90,reverse,1,64,1.620
1785306083.406578,proxy_b,baseline_lenmix_v1,6c444552-3608-4b4c-a623-f08085528b90,forward,2,128,23.378
1785306083.407427,proxy_b,baseline_lenmix_v1,6c444552-3608-4b4c-a623-f08085528b90,reverse,2,128,23.237
1785306083.430032,proxy_b,baseline_lenmix_v1,6c444552-3608-4b4c-a623-f08085528b90,forward,3,256,23.456
1785306083.430784,proxy_b,baseline_lenmix_v1,6c444552-3608-4b4c-a623-f08085528b90,reverse,3,256,23.371
1785306083.452807,proxy_b,baseline_lenmix_v1,6c444552-3608-4b4c-a623-f08085528b90,forward,4,512,22.766
1785306083.453636,proxy_b,baseline_lenmix_v1,6c444552-3608-4b4c-a623-f08085528b90,reverse,4,512,22.854
1785306083.475949,proxy_b,baseline_lenmix_v1,6c444552-3608-4b4c-a623-f08085528b90,forward,5,1024,23.136
1785306083.477152,proxy_b,baseline_lenmix_v1,6c444552-3608-4b4c-a623-f08085528b90,reverse,5,1024,23.487
1785306083.499403,proxy_b,baseline_lenmix_v1,6c444552-3608-4b4c-a623-f08085528b90,forward,6,64,23.470
1785306083.500229,proxy_b,baseline_lenmix_v1,6c444552-3608-4b4c-a623-f08085528b90,reverse,6,64,23.102
1785306083.522167,proxy_b,baseline_lenmix_v1,6c444552-3608-4b4c-a623-f08085528b90,forward,7,128,22.765
1785306083.522980,proxy_b,baseline_lenmix_v1,6c444552-3608-4b4c-a623-f08085528b90,reverse,7,128,22.717
1785306083.545394,proxy_b,baseline_lenmix_v1,6c444552-3608-4b4c-a623-f08085528b90,forward,8,256,23.198
1785306083.546235,proxy_b,baseline_lenmix_v1,6c444552-3608-4b4c-a623-f08085528b90,reverse,8,256,23.279
1785306083.568479,proxy_b,baseline_lenmix_v1,6c444552-3608-4b4c-a623-f08085528b90,forward,9,512,23.105
1785306083.569403,proxy_b,baseline_lenmix_v1,6c444552-3608-4b4c-a623-f08085528b90,reverse,9,512,23.156
1785306083.591858,proxy_b,baseline_lenmix_v1,6c444552-3608-4b4c-a623-f08085528b90,forward,10,1024,23.387
1785306083.592451,proxy_b,baseline_lenmix_v1,6c444552-3608-4b4c-a623-f08085528b90,reverse,10,1024,23.077
1785306083.615262,proxy_b,baseline_lenmix_v1,6c444552-3608-4b4c-a623-f08085528b90,forward,11,64,23.396
1785306083.616149,proxy_b,baseline_lenmix_v1,6c444552-3608-4b4c-a623-f08085528b90,reverse,11,64,23.672
1785306083.638528,proxy_b,baseline_lenmix_v1,6c444552-3608-4b4c-a623-f08085528b90,forward,12,128,23.261
1785306083.639114,proxy_b,baseline_lenmix_v1,6c444552-3608-4b4c-a623-f08085528b90,reverse,12,128,22.991
1785306083.661561,proxy_b,baseline_lenmix_v1,6c444552-3608-4b4c-a623-f08085528b90,forward,13,256,23.018
1785306083.663385,proxy_b,baseline_lenmix_v1,6c444552-3608-4b4c-a623-f08085528b90,reverse,13,256,24.165
1785306083.686047,proxy_b,baseline_lenmix_v1,6c444552-3608-4b4c-a623-f08085528b90,forward,14,512,24.517
1785306083.686677,proxy_b,baseline_lenmix_v1,6c444552-3608-4b4c-a623-f08085528b90,reverse,14,512,23.401
1785306083.708804,proxy_b,baseline_lenmix_v1,6c444552-3608-4b4c-a623-f08085528b90,forward,15,1024,22.748
1785306083.709671,proxy_b,baseline_lenmix_v1,6c444552-3608-4b4c-a623-f08085528b90,reverse,15,1024,22.956
1785306083.732212,proxy_b,baseline_lenmix_v1,6c444552-3608-4b4c-a623-f08085528b90,forward,16,64,23.405
