timestamp,proxy_name,experiment_id,session_id,direction,event_index,byte_length,inter_event_gap_ms,frame_id,encoded_bit,recovered_bit,crc_status
1789651305.112970,proxy_a,work917,work917-docker-001,forward,1,384,3.020,,,,
1789651305.186616,proxy_a,work917,work917-docker-001,reverse,1,384,76.666,,,,
1789651305.187180,proxy_a,work917,work917-docker-001,forward,2,384,74.210,,,,
1789651305.189260,proxy_a,work917,work917-docker-001,reverse,2,384,2.643,,,,
1789651305.189614,proxy_a,work917,work917-docker-001,forward,3,384,2.434,,,,
1789651305.192727,proxy_a,work917,work917-docker-001,reverse,3,384,3.468,,,,
1789651305.193097,proxy_a,work917,work917-docker-001,forward,4,384,3.483,,,,
1789651305.198100,proxy_a,work917,work917-docker-001,reverse,4,384,5.373,,,,
1789651305.198530,proxy_a,work917,work917-docker-001,forward,5,384,5.433,,,,
1789651305.200771,proxy_a,work917,work917-docker-001,reverse,5,384,2.671,,,,
1789651305.201150,proxy_a,work917,work917-docker-001,forward,6,384,2.620,,,,
1789651305.202489,proxy_a,work917,work917-docker-001,reverse,6,384,1.719,,,,
1789651305.203010,proxy_a,work917,work917-docker-001,forward,7,384,1.860,,,,
1789651305.204603,proxy_a,work917,work917-docker-001,reverse,7,384,2.114,,,,
1789651305.204974,proxy_a,work917,work917-docker-001,forward,8,384,1.964,,,,
1789651305.208522,proxy_a,work917,work917-docker-001,reverse,8,384,3.919,,,,
1789651305.208905,proxy_a,work917,work917-docker-001,forward,9,384,3.931,,,,
1789651305.210173,proxy_a,work917,work917-docker-001,reverse,9,384,1.651,,,,
1789651305.211037,proxy_a,work917,work917-docker-001,forward,10,384,2.131,,,,
1789651305.213661,proxy_a,work917,work917-docker-001,reverse,10,384,3.489,,,,
1789651305.214160,proxy_a,work917,work917-docker-001,forward,11,384,3.123,,,,
1789651305.215158,proxy_a,work917,work917-docker-001,reverse,11,384,1.496,,,,
1789651305.215514,proxy_a,work917,work917-docker-001,forward,12,384,1.354,,,,
1789651305.216863,proxy_a,work917,work917-docker-001,reverse,12,384,1.705,,,,
1789651305.217185,proxy_a,work917,work917-docker-001,forward,13,384,1.671,,,,
1789651305.218577,proxy_a,work917,work917-docker-001,reverse,13,384,1.714,,,,
1789651305.218896,proxy_a,work917,work917-docker-001,forward,14,384,1.710,,,,
1789651305.220800,proxy_a,work917,work917-docker-001,reverse,14,384,2.223,,,,
1789651305.221118,proxy_a,work917,work917-docker-001,forward,15,384,2.222,,,,
1789651305.223964,proxy_a,work917,work917-docker-001,reverse,15,384,3.164,,,,
1789651305.224396,proxy_a,work917,work917-docker-001,forward,16,384,3.278,,,,
1789651305.225644,proxy_a,work917,work917-docker-001,reverse,16,384,1.680,,,,
1789651305.225987,proxy_a,work917,work917-docker-001,forward,17,384,1.590,917,0,,
1789651305.229345,proxy_a,work917,work917-docker-001,reverse,17,384,3.701,,,,
1789651305.229841,proxy_a,work917,work917-docker-001,forward,18,192,3.855,917,1,,
1789651305.350250,proxy_a,work917,work917-docker-001,forward,19,192,120.409,917,1,,
1789651305.351803,proxy_a,work917,work917-docker-001,reverse,18,384,122.458,,,,
1789651305.352199,proxy_a,work917,work917-docker-001,forward,20,192,1.949,917,1,,
1789651305.472746,proxy_a,work917,work917-docker-001,forward,21,192,120.547,917,1,,
1789651305.474247,proxy_a,work917,work917-docker-001,reverse,19,384,122.444,,,,
1789651305.474784,proxy_a,work917,work917-docker-001,forward,22,384,2.038,917,0,,
1789651305.475819,proxy_a,work917,work917-docker-001,reverse,20,384,1.573,,,,
1789651305.476267,proxy_a,work917,work917-docker-001,forward,23,192,1.483,917,1,,
1789651305.596745,proxy_a,work917,work917-docker-001,forward,24,192,120.477,917,1,,
1789651305.598103,proxy_a,work917,work917-docker-001,reverse,21,384,122.284,,,,
1789651305.598578,proxy_a,work917,work917-docker-001,forward,25,192,1.834,917,1,,
1789651305.719047,proxy_a,work917,work917-docker-001,forward,26,192,120.468,917,1,,
1789651305.720244,proxy_a,work917,work917-docker-001,reverse,22,384,122.140,,,,
1789651305.720771,proxy_a,work917,work917-docker-001,forward,27,192,1.724,917,1,,
1789651305.841084,proxy_a,work917,work917-docker-001,forward,28,192,120.313,917,1,,
1789651305.842242,proxy_a,work917,work917-docker-001,reverse,23,384,121.998,,,,
1789651305.842615,proxy_a,work917,work917-docker-001,forward,29,384,1.531,917,0,,
1789651305.843268,proxy_a,work917,work917-docker-001,reverse,24,384,1.026,,,,
1789651305.843541,proxy_a,work917,work917-docker-001,forward,30,192,0.926,917,1,,
1789651305.963863,proxy_a,work917,work917-docker-001,forward,31,192,120.322,917,1,,
1789651305.965007,proxy_a,work917,work917-docker-001,reverse,25,384,121.739,,,,
1789651305.965395,proxy_a,work917,work917-docker-001,forward,32,384,1.532,917,0,,
1789651305.966040,proxy_a,work917,work917-docker-001,reverse,26,384,1.034,,,,
1789651305.966351,proxy_a,work917,work917-docker-001,forward,33,384,0.955,917,0,,
1789651305.966983,proxy_a,work917,work917-docker-001,reverse,27,384,0.943,,,,
1789651305.967258,proxy_a,work917,work917-docker-001,forward,34,192,0.908,917,1,,
1789651306.087574,proxy_a,work917,work917-docker-001,forward,35,192,120.315,917,1,,
1789651306.089106,proxy_a,work917,work917-docker-001,reverse,28,384,122.123,,,,
1789651306.089495,proxy_a,work917,work917-docker-001,forward,36,384,1.921,917,0,,
1789651306.090254,proxy_a,work917,work917-docker-001,reverse,29,384,1.148,,,,
1789651306.090555,proxy_a,work917,work917-docker-001,forward,37,192,1.060,917,1,,
1789651306.210936,proxy_a,work917,work917-docker-001,forward,38,192,120.380,917,1,,
1789651306.212890,proxy_a,work917,work917-docker-001,reverse,30,384,122.637,,,,
1789651306.213435,proxy_a,work917,work917-docker-001,forward,39,192,2.499,917,1,,
1789651306.333801,proxy_a,work917,work917-docker-001,forward,40,192,120.367,917,1,,
1789651306.335389,proxy_a,work917,work917-docker-001,reverse,31,384,122.499,,,,
1789651306.335867,proxy_a,work917,work917-docker-001,forward,41,192,2.066,917,1,,
1789651306.456213,proxy_a,work917,work917-docker-001,forward,42,192,120.346,917,1,,
1789651306.457606,proxy_a,work917,work917-docker-001,reverse,32,384,122.217,,,,
1789651306.458029,proxy_a,work917,work917-docker-001,forward,43,192,1.815,917,1,,
1789651306.578864,proxy_a,work917,work917-docker-001,forward,44,192,120.836,917,1,,
1789651306.580928,proxy_a,work917,work917-docker-001,reverse,33,384,123.322,,,,
1789651306.581491,proxy_a,work917,work917-docker-001,forward,45,384,2.627,917,0,,
1789651306.582453,proxy_a,work917,work917-docker-001,reverse,34,384,1.525,,,,
1789651306.582896,proxy_a,work917,work917-docker-001,forward,46,384,1.405,917,0,,
1789651306.585098,proxy_a,work917,work917-docker-001,reverse,35,384,2.645,,,,
1789651306.585450,proxy_a,work917,work917-docker-001,forward,47,192,2.554,917,1,,
1789651306.705788,proxy_a,work917,work917-docker-001,forward,48,192,120.338,917,1,,
1789651306.706997,proxy_a,work917,work917-docker-001,reverse,36,384,121.899,,,,
1789651306.707447,proxy_a,work917,work917-docker-001,forward,49,384,1.658,917,0,,
1789651306.708185,proxy_a,work917,work917-docker-001,reverse,37,384,1.188,,,,
1789651306.708572,proxy_a,work917,work917-docker-001,forward,50,192,1.125,917,1,,
1789651306.829135,proxy_a,work917,work917-docker-001,forward,51,192,120.564,917,1,,
1789651306.831226,proxy_a,work917,work917-docker-001,reverse,38,384,123.041,,,,
1789651306.835016,proxy_a,work917,work917-docker-001,forward,52,192,5.881,917,1,,
1789651306.955399,proxy_a,work917,work917-docker-001,forward,53,192,120.383,917,1,,
1789651306.958816,proxy_a,work917,work917-docker-001,reverse,39,384,127.590,,,,
1789651306.959241,proxy_a,work917,work917-docker-001,forward,54,192,3.843,917,1,,
1789651307.079562,proxy_a,work917,work917-docker-001,forward,55,192,120.320,917,1,,
1789651307.081228,proxy_a,work917,work917-docker-001,reverse,40,384,122.412,,,,
1789651307.081716,proxy_a,work917,work917-docker-001,forward,56,192,2.154,917,1,,
1789651307.202039,proxy_a,work917,work917-docker-001,forward,57,192,120.323,917,1,,
1789651307.203271,proxy_a,work917,work917-docker-001,reverse,41,384,122.043,,,,
1789651307.203727,proxy_a,work917,work917-docker-001,forward,58,384,1.688,917,0,,
1789651307.204586,proxy_a,work917,work917-docker-001,reverse,42,384,1.315,,,,
1789651307.204965,proxy_a,work917,work917-docker-001,forward,59,192,1.238,917,1,,
1789651307.325279,proxy_a,work917,work917-docker-001,forward,60,192,120.314,917,1,,
1789651307.328763,proxy_a,work917,work917-docker-001,reverse,43,384,124.177,,,,
1789651307.329495,proxy_a,work917,work917-docker-001,forward,61,384,4.216,917,0,,
