timestamp,proxy_name,experiment_id,session_id,direction,event_index,byte_length,inter_event_gap_ms,frame_id,encoded_bit,recovered_bit,crc_status
1789651305.176727,proxy_b,work917,work917-docker-001,forward,1,384,3.140,,,0,searching
1789651305.183641,proxy_b,work917,work917-docker-001,reverse,1,384,10.054,,,,
1789651305.187435,proxy_b,work917,work917-docker-001,forward,2,384,10.708,,,0,searching
1789651305.188996,proxy_b,work917,work917-docker-001,reverse,2,384,5.355,,,,
1789651305.190606,proxy_b,work917,work917-docker-001,forward,3,384,3.171,,,0,searching
1789651305.191751,proxy_b,work917,work917-docker-001,reverse,3,384,2.755,,,,
1789651305.193436,proxy_b,work917,work917-docker-001,forward,4,384,2.830,,,0,searching
1789651305.197257,proxy_b,work917,work917-docker-001,reverse,4,384,5.505,,,,
1789651305.199083,proxy_b,work917,work917-docker-001,forward,5,384,5.648,,,0,searching
1789651305.200362,proxy_b,work917,work917-docker-001,reverse,5,384,3.106,,,,
1789651305.201673,proxy_b,work917,work917-docker-001,forward,6,384,2.589,,,0,searching
1789651305.202213,proxy_b,work917,work917-docker-001,reverse,6,384,1.851,,,,
1789651305.203324,proxy_b,work917,work917-docker-001,forward,7,384,1.651,,,0,searching
1789651305.204378,proxy_b,work917,work917-docker-001,reverse,7,384,2.165,,,,
1789651305.205446,proxy_b,work917,work917-docker-001,forward,8,384,2.122,,,0,searching
1789651305.207281,proxy_b,work917,work917-docker-001,reverse,8,384,2.903,,,,
1789651305.209568,proxy_b,work917,work917-docker-001,forward,9,384,4.122,,,0,searching
1789651305.209885,proxy_b,work917,work917-docker-001,reverse,9,384,2.603,,,,
1789651305.212589,proxy_b,work917,work917-docker-001,forward,10,384,3.021,,,0,searching
1789651305.213362,proxy_b,work917,work917-docker-001,reverse,10,384,3.477,,,,
1789651305.214510,proxy_b,work917,work917-docker-001,forward,11,384,1.921,,,0,searching
1789651305.214957,proxy_b,work917,work917-docker-001,reverse,11,384,1.595,,,,
1789651305.215764,proxy_b,work917,work917-docker-001,forward,12,384,1.254,,,0,searching
1789651305.216233,proxy_b,work917,work917-docker-001,reverse,12,384,1.276,,,,
1789651305.217583,proxy_b,work917,work917-docker-001,forward,13,384,1.819,,,0,searching
1789651305.218372,proxy_b,work917,work917-docker-001,reverse,13,384,2.139,,,,
1789651305.219138,proxy_b,work917,work917-docker-001,forward,14,384,1.555,,,0,searching
1789651305.219459,proxy_b,work917,work917-docker-001,reverse,14,384,1.086,,,,
1789651305.222173,proxy_b,work917,work917-docker-001,forward,15,384,3.035,,,0,searching
1789651305.223651,proxy_b,work917,work917-docker-001,reverse,15,384,4.193,,,,
1789651305.224691,proxy_b,work917,work917-docker-001,forward,16,384,2.518,,,0,searching
1789651305.225341,proxy_b,work917,work917-docker-001,reverse,16,384,1.690,,,,
1789651305.226362,proxy_b,work917,work917-docker-001,forward,17,384,1.672,,,0,searching
1789651305.226871,proxy_b,work917,work917-docker-001,reverse,17,384,1.530,,,,
1789651305.230210,proxy_b,work917,work917-docker-001,forward,18,192,3.848,,,1,searching
1789651305.350724,proxy_b,work917,work917-docker-001,forward,19,192,120.514,,,1,searching
1789651305.351525,proxy_b,work917,work917-docker-001,reverse,18,384,124.653,,,,
1789651305.352596,proxy_b,work917,work917-docker-001,forward,20,192,1.872,,,1,searching
1789651305.473283,proxy_b,work917,work917-docker-001,forward,21,192,120.687,,,1,searching
1789651305.473959,proxy_b,work917,work917-docker-001,reverse,19,384,122.434,,,,
1789651305.475124,proxy_b,work917,work917-docker-001,forward,22,384,1.841,,,0,searching
1789651305.475564,proxy_b,work917,work917-docker-001,reverse,20,384,1.605,,,,
1789651305.476572,proxy_b,work917,work917-docker-001,forward,23,192,1.448,,,1,searching
1789651305.597263,proxy_b,work917,work917-docker-001,forward,24,192,120.691,,,1,searching
1789651305.597864,proxy_b,work917,work917-docker-001,reverse,21,384,122.300,,,,
1789651305.598827,proxy_b,work917,work917-docker-001,forward,25,192,1.564,,,1,searching
1789651305.719452,proxy_b,work917,work917-docker-001,forward,26,192,120.625,,,1,searching
1789651305.720003,proxy_b,work917,work917-docker-001,reverse,22,384,122.138,,,,
1789651305.720984,proxy_b,work917,work917-docker-001,forward,27,192,1.531,,,1,searching
1789651305.841553,proxy_b,work917,work917-docker-001,forward,28,192,120.570,,,1,searching
1789651305.842041,proxy_b,work917,work917-docker-001,reverse,23,384,122.038,,,,
1789651305.842814,proxy_b,work917,work917-docker-001,forward,29,384,1.261,,,0,searching
1789651305.843102,proxy_b,work917,work917-docker-001,reverse,24,384,1.061,,,,
1789651305.843736,proxy_b,work917,work917-docker-001,forward,30,192,0.922,,,1,searching
1789651305.964240,proxy_b,work917,work917-docker-001,forward,31,192,120.504,,,1,searching
1789651305.964818,proxy_b,work917,work917-docker-001,reverse,25,384,121.716,,,,
1789651305.965597,proxy_b,work917,work917-docker-001,forward,32,384,1.357,,,0,searching
1789651305.965872,proxy_b,work917,work917-docker-001,reverse,26,384,1.053,,,,
1789651305.966542,proxy_b,work917,work917-docker-001,forward,33,384,0.945,,,0,searching
1789651305.966820,proxy_b,work917,work917-docker-001,reverse,27,384,0.948,,,,
1789651305.967455,proxy_b,work917,work917-docker-001,forward,34,192,0.913,,,1,searching
1789651306.088063,proxy_b,work917,work917-docker-001,forward,35,192,120.608,,,1,searching
1789651306.088852,proxy_b,work917,work917-docker-001,reverse,28,384,122.032,,,,
