timestamp,proxy_name,experiment_id,session_id,direction,event_index,byte_length,inter_event_gap_ms,frame_id,encoded_bit,recovered_bit,crc_status
1788870661.576533,proxy_b,newtry97,59083d9c-0297-4014-a201-17b92b560302,forward,1,384,1.213,,,0,searching
1788870661.576752,proxy_b,newtry97,59083d9c-0297-4014-a201-17b92b560302,reverse,1,384,1.432,,,,
1788870661.577083,proxy_b,newtry97,59083d9c-0297-4014-a201-17b92b560302,forward,2,384,0.550,,,0,searching
1788870661.577173,proxy_b,newtry97,59083d9c-0297-4014-a201-17b92b560302,reverse,2,384,0.421,,,,
1788870661.577407,proxy_b,newtry97,59083d9c-0297-4014-a201-17b92b560302,forward,3,384,0.324,,,0,searching
1788870661.577495,proxy_b,newtry97,59083d9c-0297-4014-a201-17b92b560302,reverse,3,384,0.322,,,,
1788870661.577722,proxy_b,newtry97,59083d9c-0297-4014-a201-17b92b560302,forward,4,384,0.315,,,0,searching
1788870661.577825,proxy_b,newtry97,59083d9c-0297-4014-a201-17b92b560302,reverse,4,384,0.330,,,,
1788870661.578030,proxy_b,newtry97,59083d9c-0297-4014-a201-17b92b560302,forward,5,384,0.308,,,0,searching
1788870661.578095,proxy_b,newtry97,59083d9c-0297-4014-a201-17b92b560302,reverse,5,384,0.271,,,,
1788870661.578266,proxy_b,newtry97,59083d9c-0297-4014-a201-17b92b560302,forward,6,384,0.237,,,0,searching
1788870661.578326,proxy_b,newtry97,59083d9c-0297-4014-a201-17b92b560302,reverse,6,384,0.231,,,,
1788870661.578484,proxy_b,newtry97,59083d9c-0297-4014-a201-17b92b560302,forward,7,384,0.218,,,0,searching
1788870661.578551,proxy_b,newtry97,59083d9c-0297-4014-a201-17b92b560302,reverse,7,384,0.224,,,,
1788870661.578706,proxy_b,newtry97,59083d9c-0297-4014-a201-17b92b560302,forward,8,384,0.222,,,0,searching
1788870661.578764,proxy_b,newtry97,59083d9c-0297-4014-a201-17b92b560302,reverse,8,384,0.214,,,,
1788870661.578892,proxy_b,newtry97,59083d9c-0297-4014-a201-17b92b560302,forward,9,384,0.186,,,0,searching
1788870661.578942,proxy_b,newtry97,59083d9c-0297-4014-a201-17b92b560302,reverse,9,384,0.178,,,,
1788870661.579071,proxy_b,newtry97,59083d9c-0297-4014-a201-17b92b560302,forward,10,384,0.178,,,0,searching
1788870661.579120,proxy_b,newtry97,59083d9c-0297-4014-a201-17b92b560302,reverse,10,384,0.178,,,,
1788870661.579250,proxy_b,newtry97,59083d9c-0297-4014-a201-17b92b560302,forward,11,384,0.180,,,0,searching
1788870661.579300,proxy_b,newtry97,59083d9c-0297-4014-a201-17b92b560302,reverse,11,384,0.180,,,,
1788870661.579443,proxy_b,newtry97,59083d9c-0297-4014-a201-17b92b560302,forward,12,384,0.193,,,0,searching
1788870661.579494,proxy_b,newtry97,59083d9c-0297-4014-a201-17b92b560302,reverse,12,384,0.194,,,,
